,trajectory_id,trace_number,longitude (degree_east),latitude (degree_north),date,time_UTC,surface_altitude (m),land_ice_thickness (m),bedrock_altitude (m),two_way_travel_time (m),aircraft_altitude (m),along_track_distance (m),easting,northing,project,geometry
29,1465415,,-116.1967,-74.78333,,,613.0,813.0,-200.0,,,,-1491933.9129857966,-734015.765004859,,POINT (-1491933.9129857966 -734015.765004859)
30,1465416,,-116.1867,-74.75,,,546.0,747.0,-201.0,,,,-1495367.480888939,-735380.9074178362,,POINT (-1495367.480888939 -735380.9074178362)
31,1465417,,-116.2333,-74.655,,,362.0,630.0,-268.0,,,,-1504188.033722884,-741238.479580249,,POINT (-1504188.033722884 -741238.479580249)
32,1465418,,-116.25,-74.54,,,118.0,857.0,-739.0,,,,-1515375.1186921573,-747300.3085046817,,POINT (-1515375.1186921573 -747300.3085046817)
33,1465419,,-116.2667,-74.50667,,,72.0,587.0,-538.0,,,,-1518462.2648398173,-749373.019393265,,POINT (-1518462.2648398173 -749373.019393265)
34,1465420,,-116.3,-74.46167,,,76.0,625.0,-1071.0,,,,-1522487.8265551073,-752460.351283359,,POINT (-1522487.8265551073 -752460.351283359)
35,1465421,,-116.32,-74.315,,,65.0,507.0,-1219.0,,,,-1536766.7888122036,-760185.0332485775,,POINT (-1536766.7888122036 -760185.0332485775)
36,144926,,-121.138,-76.8096,,,2110.0,2408.0,-298.0,,,,-1231911.9846992411,-744251.6175363883,,POINT (-1231911.9846992411 -744251.6175363883)
37,144925,,-121.1614,-76.81129,,,2113.0,2389.0,-276.0,,,,-1231448.7800432555,-744658.4422389615,,POINT (-1231448.7800432555 -744658.4422389615)
38,144924,,-121.1814,-76.81129,,,2114.0,2377.0,-263.0,,,,-1231188.7701919882,-745088.253578674,,POINT (-1231188.7701919882 -745088.253578674)
39,144923,,-121.1848,-76.81129,,,2115.0,2355.0,-240.0,,,,-1231144.5535972484,-745161.312479124,,POINT (-1231144.5535972484 -745161.312479124)
40,144922,,-121.2149,-76.81461,,,2117.0,2338.0,-221.0,,,,-1230440.4572563267,-745618.6403540736,,POINT (-1230440.4572563267 -745618.6403540736)
41,144921,,-121.2283,-76.81461,,,2119.0,2323.0,-204.0,,,,-1230266.0427039566,-745906.3881387273,,POINT (-1230266.0427039566 -745906.3881387273)
42,144920,,-121.2449,-76.81619,,,2120.0,2320.0,-200.0,,,,-1229901.230490473,-746172.608415125,,POINT (-1229901.230490473 -746172.608415125)
43,144919,,-121.2634,-76.81619,,,2121.0,2324.0,-203.0,,,,-1229660.2377598986,-746569.6872920041,,POINT (-1229660.2377598986 -746569.6872920041)
44,144918,,-121.3018,-76.8246,,,2123.0,2238.0,-115.0,,,,-1228368.8420771253,-746912.8198403355,,POINT (-1228368.8420771253 -746912.8198403355)
45,144917,,-121.3168,-76.8246,,,2123.0,2187.0,-64.0,,,,-1228173.258664849,-747234.3804512107,,POINT (-1228173.258664849 -747234.3804512107)
46,144916,,-121.3302,-76.8262,,,2124.0,2125.0,-1.0,,,,-1227848.070546308,-747430.0472925323,,POINT (-1227848.070546308 -747430.0472925323)
